,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,hotel_encoded,country_encoded,deposit_encoded,room_type_mismatch,reserved_room_type_encoded,assigned_room_type_encoded,customer_type_encoded,arrival_date_month_encode,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,distribution_channel_Undefined
0,0,342,2015,27,1,0,0,2,0,0,0,3,0,0.0,0,0,1,135,0,0,2,2,2,5,True,False,False,False
1,0,737,2015,27,1,0,0,2,0,0,0,4,0,0.0,0,0,1,135,0,0,2,2,2,5,True,False,False,False
2,0,7,2015,27,1,0,1,1,0,0,0,0,0,75.0,0,0,1,59,0,1,0,2,2,5,True,False,False,False
3,0,13,2015,27,1,0,1,1,0,0,0,0,0,75.0,0,0,1,59,0,0,0,0,2,5,False,False,False,False
4,0,14,2015,27,1,0,2,2,0,0,0,0,0,98.0,0,1,1,59,0,0,0,0,2,5,False,False,True,False
5,0,14,2015,27,1,0,2,2,0,0,0,0,0,98.0,0,1,1,59,0,0,0,0,2,5,False,False,True,False
6,0,0,2015,27,1,0,2,2,0,0,0,0,0,107.0,0,0,1,135,0,0,2,2,2,5,True,False,False,False
7,0,9,2015,27,1,0,2,2,0,0,0,0,0,103.0,0,1,1,135,0,0,2,2,2,5,True,False,False,False
8,1,85,2015,27,1,0,3,2,0,0,0,0,0,82.0,0,1,1,135,0,0,0,0,2,5,False,False,True,False
9,1,75,2015,27,1,0,3,2,0,0,0,0,0,105.5,0,0,1,135,0,0,3,3,2,5,False,False,True,False
10,1,23,2015,27,1,0,4,2,0,0,0,0,0,123.0,0,0,1,135,0,0,4,4,2,5,False,False,True,False
11,0,35,2015,27,1,0,4,2,0,0,0,0,0,145.0,0,0,1,135,0,0,3,3,2,5,False,False,True,False
12,0,68,2015,27,1,0,4,2,0,0,0,0,0,97.0,0,3,1,169,0,1,3,4,2,5,False,False,True,False
13,0,18,2015,27,1,0,4,2,0,0,0,1,0,154.77,0,1,1,51,0,0,6,6,2,5,False,False,True,False
14,0,37,2015,27,1,0,4,2,0,0,0,0,0,94.71,0,0,1,135,0,0,4,4,2,5,False,False,True,False
15,0,68,2015,27,1,0,4,2,0,0,0,0,0,97.0,0,3,1,76,0,1,3,4,2,5,False,False,True,False
16,0,37,2015,27,1,0,4,2,0,0,0,0,0,97.5,0,0,1,135,0,0,4,4,0,5,False,False,True,False
17,0,12,2015,27,1,0,1,2,0,0,0,0,0,88.2,0,0,1,76,0,1,0,4,2,5,False,False,True,False
18,0,0,2015,27,1,0,1,2,0,0,0,0,0,107.42,0,0,1,56,0,1,0,6,2,5,False,False,False,False
19,0,7,2015,27,1,0,4,2,0,0,0,0,0,153.0,0,1,1,59,0,0,6,6,2,5,True,False,False,False
20,0,37,2015,27,1,1,4,1,0,0,0,0,0,97.29,0,1,1,59,0,0,5,5,2,5,False,False,True,False
21,0,72,2015,27,1,2,4,2,0,0,0,1,0,84.67,0,1,1,135,0,0,0,0,2,5,True,False,False,False
22,0,72,2015,27,1,2,4,2,0,0,0,1,0,84.67,0,1,1,135,0,0,0,0,2,5,True,False,False,False
23,0,72,2015,27,1,2,4,2,0,0,0,1,0,99.67,0,1,1,135,0,0,3,3,2,5,True,False,False,False
24,0,127,2015,27,1,2,5,2,0,0,0,0,0,94.95,0,1,1,59,0,1,3,8,0,5,False,False,True,False
25,0,78,2015,27,1,2,5,2,0,0,0,0,0,63.6,1,0,1,135,0,0,3,3,2,5,False,False,True,False
26,0,48,2015,27,1,2,5,2,0,0,0,0,0,79.5,0,0,1,76,0,0,3,3,0,5,False,False,True,False
27,1,60,2015,27,1,2,5,2,0,0,0,0,0,107.0,0,2,1,135,0,0,4,4,2,5,False,False,True,False
28,0,77,2015,27,1,2,5,2,0,0,0,0,0,94.0,0,0,1,135,0,0,0,0,2,5,False,False,True,False
29,0,99,2015,27,1,2,5,2,0,0,0,0,0,87.3,1,1,1,135,0,0,3,3,2,5,False,False,True,False
30,0,118,2015,27,1,4,10,1,0,0,0,2,0,62.0,0,2,1,177,0,0,0,0,2,5,True,False,False,False
31,0,95,2015,27,1,4,11,2,0,0,0,0,0,63.86,0,0,1,59,0,0,3,3,2,5,False,False,True,False
32,1,96,2015,27,1,2,8,2,0,0,0,0,0,108.3,0,2,1,135,0,0,4,4,2,5,True,False,False,False
33,0,69,2015,27,2,2,4,2,0,0,0,0,0,65.5,0,0,1,76,0,1,0,2,2,5,False,False,True,False
34,1,45,2015,27,2,1,3,3,0,0,0,0,0,108.8,0,1,1,135,0,0,3,3,2,5,False,False,True,False
35,1,40,2015,27,2,1,3,3,0,0,0,0,0,108.8,0,1,1,135,0,0,3,3,2,5,False,False,True,False
36,0,15,2015,27,2,1,3,2,0,0,0,0,0,98.0,0,0,1,51,0,1,0,2,2,5,False,False,True,False
37,0,36,2015,27,2,1,3,3,0,0,0,0,0,108.8,0,1,1,135,0,0,3,3,2,5,False,False,True,False
38,1,43,2015,27,2,1,3,3,0,0,0,0,0,108.8,0,0,1,135,0,0,3,3,2,5,False,False,True,False
39,0,70,2015,27,2,2,3,2,0,0,0,0,0,137.0,0,1,1,139,0,0,4,4,2,5,True,False,False,False
40,1,45,2015,27,2,2,3,2,0,0,0,0,0,117.81,0,0,1,135,0,0,6,6,2,5,False,False,True,False
41,0,45,2015,27,2,2,3,2,0,0,0,0,0,79.5,0,0,1,76,0,0,3,3,0,5,False,False,True,False
42,0,16,2015,27,2,2,3,2,0,0,0,0,0,123.0,0,0,1,51,0,0,5,5,2,5,True,False,False,False
43,0,70,2015,27,2,2,3,2,0,0,0,0,0,137.0,0,1,1,139,0,0,4,4,2,5,True,False,False,False
44,0,107,2015,27,2,2,5,2,0,0,0,0,0,110.7,0,2,1,135,0,0,0,0,2,5,False,False,True,False
45,1,47,2015,27,2,2,5,2,0,0,0,0,0,153.0,0,0,1,135,0,0,6,6,2,5,False,False,True,False
46,0,96,2015,27,2,2,5,2,0,0,0,0,0,58.95,0,1,1,51,0,0,0,0,2,5,False,False,True,False
47,0,113,2015,27,2,2,5,2,0,0,0,0,0,82.88,0,2,1,124,0,0,4,4,3,5,False,False,True,False
48,0,90,2015,27,2,2,5,2,0,0,0,1,0,82.35,0,0,1,59,0,1,0,1,0,5,False,False,True,False
49,0,50,2015,27,2,2,5,2,0,0,0,1,0,119.35,0,1,1,76,0,1,4,5,2,5,False,False,True,False
50,0,113,2015,27,2,2,5,2,0,0,0,0,0,67.58,0,2,1,124,0,0,3,3,3,5,False,False,True,False
